Profile;h;b;t-s;t-g;A;g;I-y;W-y;i-y;I-z;W-z;i-z;A-q;r;S-f;W-yv;A-qv;gHandel;Knick;S-y;Itor;Iw/1000;Typ;MIP-Typ;Sec-Typ;ey;S 460 Knick
IPE360;360;170;8;12.7;72.7;57.1;16270;904;15;1040;123;3.79;35.108;18;420;1089.886135;30.99047619;58.6;a/b;510;37.3;313.6;4;1;H;0;a0
IPE400;400;180;8.6;13.5;84.5;66.3;23130;1160;16.5;1320;146;3.95;42.731;21;536;1401.812689;37.11156716;68;a/b;654;51.1;490;4;1;H;0;a0
IPE450;450;190;9.4;14.6;98.8;77.6;33740;1500;18.5;1680;176;4.12;50.8244;21;682;1781.942978;46.50381232;80;a/b;851;66.9;791;4;1;H;0;a0
IPE500;500;200;10.2;16;116;90.7;48200;1930;20.4;2140;214;4.31;60.352;21;866;2265.258216;56.77136259;93;a/b;1100;89.3;1249;4;1;H;0;a0
IPE550;550;210;11.1;17.2;134;106;67120;2440;22.3;2670;254;4.45;71.9252;24;1090;2869.974337;68.35155963;109;a/b;1390;123;1884;4;1;H;0;a0
IPE600;600;220;12;19;156;122;92080;3070;24.3;3390;308;4.66;83.8;24;1360;3583.657588;81.24705882;125;a/b;1760;165;2846;4;1;H;0;a0
U240;240;85;9.5;13;42.3;33.2;3600;300;9.22;248;39.6;2.42;22.45;13;139;382.9787234;24.60431655;34;c/c;179;19.7;22.1;5;2;U;2.23;c
U260;260;90;10;14;48.3;37.9;4820;371;9.99;317;47.7;2.56;25.5;14;171;472.8431373;28.1871345;39;c/c;221;25.5;33.3;5;2;U;2.36;c
U280;280;95;10;15;53.3;41.8;6280;448;10.9;399;57.2;2.74;27.3;15;208;570.1818182;30.19230769;43;c/c;266;31;48.5;5;2;U;2.53;c
U300;300;100;10;16;58.8;46.2;8030;535;11.7;495;67.8;2.9;29.4;16;249;680.0847458;32.24899598;48;c/c;316;37.4;69.1;5;2;U;2.7;c
U320;320;100;14;17.5;75.8;59.5;10870;679;12.1;597;80.6;2.81;43.95;17.5;307;869.12;49.57003257;61;c/c;413;66.7;96.1;5;2;U;2.6;c
U350;350;100;14;16;77.3;60.6;12840;734;12.9;571;75;2.72;48.3;16;320;898.2517483;56.175;62;c/c;459;61.2;114;5;2;U;2.4;c
U380;380;102;13.5;16;80.4;63.1;15760;829;14;615;78.7;2.77;50.71;16;342;996.8987342;62.21052632;65;c/c;507;59.1;146;5;2;U;2.38;c
U400;400;110;14;18;91.5;71.8;20350;1020;14.9;846;102;3.04;55.1;18;434;1243.902439;65.64516129;74;c/c;618;81.6;221;5;2;U;2.65;c
U220;220;80;9;12.5;37.4;29.4;2690;245;8.48;197;33.6;2.3;19.55;12.5;115;317.0588235;21.05217391;30;c/c;146;16;146;5;2;U;2.14;c
UPE270;270;95;7.5;13;49.3;38.7;5560;389;10.6;425;63.2;2.94;26.65;13;173.2781804;481.7889908;24.06534966;38.7;c/c;225.5;24.9;48.11;6;2;U;2.89;c
UPE300;300;100;9.5;15;56.6;44.4;7820;522;11.8;538;75.4;3.08;29.05;15;236.6442496;652.5;31.3931144;44.4;c/c;306.7;32;75.46;6;2;U;2.89;c
UPE330;330;105;11;16;67.8;53.2;11010;667;12.7;682;89.7;3.17;36.9;16;294.4747633;827.481203;41.12746323;53.2;c/c;395.9;45.7;116.3;6;2;U;2.9;c
UPE360;360;110;12;17;77.9;61.2;14830;824;13.8;844;105;3.29;43.4;17;359.5439099;1015.890411;49.49604071;61.2;c/c;491.2;59.3;172.4;6;2;U;2.97;c
UPE400;400;115;13.5;18;91.9;72.2;20980;1050;15.1;1050;123;3.37;53.65;18;446.6250832;1280.487805;63.41560532;72.2;c/c;631.3;80.5;266.3;6;2;U;2.98;c
I240;240;106;8.7;13.1;46.1;36.2;4250;354;9.59;221;41.7;2.2;19.81092;1.31;158.7789657;402.3108249;23.28708959;37;a/b;206;23.8;27;7;5;H;0;a0
I260;260;113;9.4;14.1;53.3;41.9;5740;442;10.4;232;51;2.32;23.15702;1.41;197.4625326;501.8778933;27.32467739;43;a/b;257;31.8;41.5;7;5;H;0;a0
